Product,Part Prefix,5k Pricing,Class B Safety Library,CPU,FPU,Architecture,CPU Speed Max MHz (megahertz),Program Memory size (KB),RAM KB (kilobyte),Data EEPROM (bytes),Direct Memory Access (DMA) Channels,ADC Channels,ADC Resolution (bits),Number of DACs,DAC Resolution (Bits),USB,Number of USB Modules,Number of Comparators,Motor Control PWM Outputs,Number of Op Amps,Low Power,QSPI,Quadrature Encoder Interface,Crypto Engine,Hardware Touch Peripheral,Type of CAN module,CAN/CAN-FD,Ethernet,Pincount,Packages,Vbat/Vddbu battery backup,Peripheral Pin Select / Pin Muxing,Auxiliary Flash (KB),External Memory Bus Interface,SDIO/SD-CARD/eMMC,Segmented LCD (# of segments),Graphics Controller/GPU
PIC32MX110F016B,PIC32MX,1.91,,32-bit MIPS MCU,No,32,40,16,4,0,4,10,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX210F016B,PIC32MX,2.06,,32-bit MIPS MCU,No,32,40,16,4,0,4,9,10,0,0,FS Device,1,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX120F032B,PIC32MX,2.17,,32-bit MIPS MCU,No,32,50,32,4,0,4,10,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX110F016D,PIC32MX,2.23,,32-bit MIPS MCU,No,32,40,16,4,0,4,13,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX220F032B,PIC32MX,2.33,,32-bit MIPS MCU,No,32,50,32,8,0,4,9,10,0,0,FS Device,1,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX210F016D,PIC32MX,2.37,,32-bit MIPS MCU,No,32,40,16,4,0,4,13,10,0,0,FS Device,1,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX130F064B,PIC32MX,2.46,,32-bit MIPS MCU,No,32,40,64,16,0,4,10,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX120F032D,PIC32MX,2.49,,32-bit MIPS MCU,No,32,50,32,8,0,4,13,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX220F032D,PIC32MX,2.63,,32-bit MIPS MCU,No,32,50,32,8,0,4,13,10,0,0,FS Device,1,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX130F256B,PIC32MX,2.72,,32-bit MIPS MCU,No,32,50,256,16,0,4,10,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,28,28\SPDIP28\SSOP28\VQFN,No,Yes,3,No,0,0,No
PIC32MX130F064D,PIC32MX,2.74,,32-bit MIPS MCU,No,32,40,64,16,0,4,13,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,44,"44\QFN,44\TQFP",No,Yes,3,No,0,0,No
PIC32MX230F064B,PIC32MX,2.74,,32-bit MIPS MCU,No,32,40,64,16,0,4,9,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX120F064H,PIC32MX,2.93,,32-bit MIPS MCU,No,32,50,64,8,0,4,28,10,0,0,None,0,3,0,0,No,0,0,No,None,None,0,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX130F256D,PIC32MX,2.96,,32-bit MIPS MCU,No,32,50,256,16,0,4,13,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX130F128H,PIC32MX,2.99,,32-bit MIPS MCU,No,32,50,128,16,0,4,28,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX230F256B,PIC32MX,3,,32-bit MIPS MCU,No,32,50,256,16,0,6,9,10,0,0,Full Speed,1,3,0,0,No,0,0,No,,None,0,None,28,28\SPDIP28\SSOP28\VQFN,No,Yes,3,No,0,0,No
PIC32MX230F064D,PIC32MX,3.02,,32-bit MIPS MCU,No,32,40,64,16,0,4,13,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX150F128B,PIC32MX,3.14,,32-bit MIPS MCU,No,32,50,128,32,0,4,10,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,28,"28\QFN,28\SOIC,28\SPDIP,28\SSOP",No,Yes,3,No,0,0,No
PIC32MX230F128H,PIC32MX,3.19,,32-bit MIPS MCU,No,32,50,128,16,0,6,28,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,Yes,3,No,0,0,No
PIC32MX230F256D,PIC32MX,3.24,,32-bit MIPS MCU,No,32,50,256,16,0,6,13,10,0,0,Full Speed,1,3,0,0,No,0,0,No,,None,0,None,44,44\QFN44\TQFP,No,Yes,3,No,0,0,No
PIC32MX330F064H,PIC32MX,3.33,,32-bit MIPS MCU,No,32,120,64,16,0,4,28,10,0,0,None,0,2,0,0,No,0,0,No,None,None,0,None,64,64\QFN64\TQFP,No,Yes,12,No,0,0,No
