Product,5k Pricing,Class B Safety Library,CPU,Architecture,CPU Speed Max MHz (megahertz),Program Memory size (KB),RAM KB (kilobyte),Direct Memory Access (DMA) Channels,ADC Channels,ADC Resolution (bits),Number of DACs,DAC Resolution (Bits),USB,Number of USB Modules,Number of Comparators,Number of Op Amps,Low Power,Peripheral Pin Select / Pin Muxing,QSPI,Crypto Engine,Type of CAN module,CAN/CAN-FD,Ethernet,Pincount,Packages,Auxiliary Flash (KB),CPU Speed (MIPS/DMIPS),Data EEPROM (bytes)
PIC32MZ0512EFE064,7.76,No,32-bit MIPS MCU,32,200,512,128,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFF064,7.95,,32-bit MIPS MCU,32,200,512,128,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFK064,8.13,,32-bit MIPS MCU,32,200,512,128,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ1024EFE064,8.33,,32-bit MIPS MCU,32,200,1024,256,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFE100,8.38,,32-bit MIPS MCU,32,200,512,128,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFF064,8.52,,32-bit MIPS MCU,32,200,1024,256,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFF100,8.56,,32-bit MIPS MCU,32,200,512,128,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFK064,8.7,,32-bit MIPS MCU,32,200,1024,256,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFK100,8.75,,32-bit MIPS MCU,32,200,512,128,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFE100,8.94,,32-bit MIPS MCU,32,200,1024,256,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ0512EFE144,9.14,No,32-bit MIPS MCU,32,200,512,128,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFF100,9.14,,32-bit MIPS MCU,32,200,1024,256,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFG064,9.27,,32-bit MIPS MCU,32,200,1024,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFF144,9.31,,32-bit MIPS MCU,32,200,512,128,15,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFK100,9.31,,32-bit MIPS MCU,32,200,1024,256,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFH064,9.47,,32-bit MIPS MCU,32,200,1024,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ0512EFK144,9.5,,32-bit MIPS MCU,32,200,512,128,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFM064,9.67,,32-bit MIPS MCU,32,200,1024,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ1024EFE144,9.7,,32-bit MIPS MCU,32,200,1024,256,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFF144,9.89,,32-bit MIPS MCU,32,200,1024,256,15,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFG100,9.89,,32-bit MIPS MCU,32,200,1024,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFK144,10.07,,32-bit MIPS MCU,32,200,1024,256,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFH100,10.07,,32-bit MIPS MCU,32,200,1024,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ1024EFM100,10.27,,32-bit MIPS MCU,32,200,1024,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ2048EFG064,10.42,,32-bit MIPS MCU,32,200,2048,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ2048EFH064,10.61,,32-bit MIPS MCU,32,252,2048,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,415,0
PIC32MZ1024EFG144,10.65,,32-bit MIPS MCU,32,200,1024,512,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ2048EFM064,10.8,,32-bit MIPS MCU,32,200,2048,512,8,24,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,64,"64\QFN,64\TQFP",160,330,0
PIC32MZ1024EFH144,10.85,,32-bit MIPS MCU,32,200,1024,512,15,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ1024EFM144,11.04,,32-bit MIPS MCU,32,200,1024,512,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ2048EFG100,11.04,,32-bit MIPS MCU,32,200,2048,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ2048EFH100,11.21,,32-bit MIPS MCU,32,252,2048,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,415,0
PIC32MZ2048EFM100,11.41,,32-bit MIPS MCU,32,200,2048,512,8,40,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,100,"100\TFBGA,100\TQFP",160,330,0
PIC32MZ2048EFG144,11.78,,32-bit MIPS MCU,32,200,2048,512,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,None,0,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
PIC32MZ2048EFH144,11.98,,32-bit MIPS MCU,32,252,2048,512,15,48,12,0,0,High Speed,1,2,0,No,Yes,1,No,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,415,0
PIC32MZ2048EFM144,12.1,,32-bit MIPS MCU,32,200,2048,512,8,48,12,0,0,High Speed,1,2,0,No,Yes,1,Yes,CAN,2,10/100 Base-TX Mac,144,"144\LQFP,144\TFBGA,144\TQFP",160,330,0
